timestamp,filename,test_case_image_quality,test_case_image_lighting,test_case_image_resolution,test_case_object_count,test_case_vehicle_distance,test_case_camera_angle,path_original_image,path_detected_image,path_cropped_vehicle,path_cropped_plate,detection_type,pairing_method,pairing_confidence,class_vehicle,confidence_score_vehicle_detection,predicted_class_vehicle,actual_class_vehicle,class_plate,predicted_class_plate,actual_class_plate,confidence_score_plate_detection,plate_number,predicted_plate_number,actual_plate_number,confidence_score_plate_ocr,processing_time_vehicle_detection,processing_time_plate_detection,processing_time_plate_recognition,special_case
2025-06-05T14:15:46Z,v1_images_test (100).jpg,good,day,medium,single,near,front,images_processed/uploaded_vehicle_images/2025-06-05_14-15-46_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-15-46_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-15-46_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-15-46_detected_plate1.jpg,vehicle_with_plate,containment,0.97,car,0.9583342075,car,car,plate,plate,plate,0.8846053481,DN 1732 MK,DN 1732 MK,DN 1732 MK,0.9,823,274,2434,
2025-06-05T14:15:58Z,v1_images_test (104).jpg,average,day,medium,single,near,side,images_processed/uploaded_vehicle_images/2025-06-05_14-15-58_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-15-58_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-15-58_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-15-58_detected_plate1.jpg,vehicle_with_plate,containment,0.96,motorcycle,0.8945738673,motorcycle,motorcycle,plate,plate,plate,0.8730577826,B 6056 STR,B 6056 STR,B 6056 STR,0.9,218,275,2036,
2025-06-05T14:16:01Z,v1_images_test (11).jpg,average,day,medium,multiple,medium,side,images_processed/uploaded_vehicle_images/2025-06-05_14-16-01_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-01_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-01_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-01_detected_plate1.jpg,vehicle_with_plate,containment,0.96,motorcycle,0.8943437338,motorcycle,motorcycle,plate,plate,plate,0.8736605048,BM 4173 SZ,BM 4173 SZ,DK 4173 SZ,0.9,269,248,1889,
2025-06-05T14:16:03Z,v1_images_test (132).jpg,average,night,low,multiple,near,front,images_processed/uploaded_vehicle_images/2025-06-05_14-16-03_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-03_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-03_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-03_detected_plate1.jpg,vehicle_with_plate,containment,0.93,motorcycle,0.86593014,motorcycle,motorcycle,plate,plate,plate,0.7754775882,B 6295 TIK,B 6295 TIK,B 6295 TIK,0.9,807,219,1856,
2025-06-05T14:16:06Z,v1_images_test (139).jpg,average,lit,medium,multiple,medium,front,images_processed/uploaded_vehicle_images/2025-06-05_14-16-06_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-06_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-06_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-06_detected_plate1.jpg,vehicle_with_plate,containment,0.95,motorcycle,0.7991532087,motorcycle,motorcycle,plate,plate,plate,0.835919261,B 4341 TFF,B 4341 TFF,B 4341 TQF,0.8,552,393,1802,
2025-06-05T14:16:36Z,v1_images_test (177).jpg,average,lit,medium,multiple,medium,front,images_processed/uploaded_vehicle_images/2025-06-05_14-16-36_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-36_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-36_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-36_detected_plate1.jpg,vehicle_with_plate,containment,0.95,car,0.9173560143,car,car,plate,plate,plate,0.8358135223,DB 8725 AF,DB 8725 AF,DB 8725 AF,0.9,784,1509,2463,
2025-06-05T14:16:41Z,v1_images_test (180).jpg,average,lit,medium,multiple,medium,front,images_processed/uploaded_vehicle_images/2025-06-05_14-16-41_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-41_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-41_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-41_detected_plate1.jpg,vehicle_with_plate,containment,0.96,car,0.9195307493,car,car,plate,plate,plate,0.8580939174,DM807SOE,DM807SOE,DM8078CE,0.95,550,318,1966,
2025-06-05T14:16:44Z,v1_images_test (190).jpg,average,lit,medium,single,near,front,images_processed/uploaded_vehicle_images/2025-06-05_14-16-44_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-44_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-44_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-44_detected_plate1.jpg,vehicle_with_plate,containment,0.96,car,0.8831630945,car,car,plate,plate,plate,0.8672677279,DB 8230 RI,DB 8230 RI,DB 8338 RI,0.9,205,207,2025,
2025-06-05T14:16:46Z,v1_images_test (194).jpg,good,day,medium,single,near,front,images_processed/uploaded_vehicle_images/2025-06-05_14-16-46_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-46_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-46_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-46_detected_plate1.jpg,vehicle_with_plate,containment,0.96,motorcycle,0.92198807,motorcycle,motorcycle,plate,plate,plate,0.862824738,AB 3910 ML,AB 3910 ML,AB 3910 MZ,0.95,225,211,1749,
2025-06-05T14:16:49Z,v1_images_test (204).jpg,good,day,medium,single,near,front,images_processed/uploaded_vehicle_images/2025-06-05_14-16-49_uploaded_image.jpg,images_processed/detected_plate_images/2025-06-05_14-16-49_detected_image.jpg,images_processed/cropped_vehicle_images\2025-06-05_14-16-49_detected_vehicle1.jpg,images_processed/cropped_plate_images/2025-06-05_14-16-49_detected_plate1.jpg,vehicle_with_plate,containment,0.95,motorcycle,0.9125595689,motorcycle,motorcycle,plate,plate,plate,0.8472810984,AB 3695 TY,AB 3695 TY,AD 7695 IY,0.95,338,426,1879,
